name	station	date	rain_mm
Oslo - Blindern	SN18700	15.10.1937	0,4
Oslo - Blindern	SN18700	16.10.1937	0,3
Oslo - Blindern	SN18700	17.10.1937	0
Oslo - Blindern	SN18700	18.10.1937	0
Oslo - Blindern	SN18700	19.10.1937	0
Oslo - Blindern	SN18700	20.10.1937	0
Oslo - Blindern	SN18700	21.10.1937	0
Oslo - Blindern	SN18700	22.10.1937	0
Oslo - Blindern	SN18700	23.10.1937	2,5
Oslo - Blindern	SN18700	24.10.1937	0,7
Oslo - Blindern	SN18700	25.10.1937	16,1
Oslo - Blindern	SN18700	26.10.1937	0
Oslo - Blindern	SN18700	27.10.1937	4,2
Oslo - Blindern	SN18700	28.10.1937	6,4
Oslo - Blindern	SN18700	29.10.1937	0,1
Oslo - Blindern	SN18700	30.10.1937	0
Oslo - Blindern	SN18700	31.10.1937	0,9
Oslo - Blindern	SN18700	01.11.1937	0,2
Oslo - Blindern	SN18700	02.11.1937	0,1
Oslo - Blindern	SN18700	03.11.1937	0
Oslo - Blindern	SN18700	04.11.1937	0
Oslo - Blindern	SN18700	05.11.1937	0
Oslo - Blindern	SN18700	06.11.1937	0
Oslo - Blindern	SN18700	07.11.1937	0
Oslo - Blindern	SN18700	08.11.1937	0
Oslo - Blindern	SN18700	09.11.1937	0,5
Oslo - Blindern	SN18700	10.11.1937	0
Oslo - Blindern	SN18700	11.11.1937	0
Oslo - Blindern	SN18700	12.11.1937	0
Oslo - Blindern	SN18700	13.11.1937	0
Oslo - Blindern	SN18700	14.11.1937	0
Oslo - Blindern	SN18700	15.11.1937	0
Oslo - Blindern	SN18700	16.11.1937	0
Oslo - Blindern	SN18700	17.11.1937	0
Oslo - Blindern	SN18700	18.11.1937	0
Oslo - Blindern	SN18700	19.11.1937	0
Oslo - Blindern	SN18700	20.11.1937	4,3
Oslo - Blindern	SN18700	21.11.1937	6
Oslo - Blindern	SN18700	22.11.1937	0,6
Oslo - Blindern	SN18700	23.11.1937	0,4
Oslo - Blindern	SN18700	24.11.1937	0
Oslo - Blindern	SN18700	25.11.1937	1,5
Oslo - Blindern	SN18700	26.11.1937	0
Oslo - Blindern	SN18700	27.11.1937	0
Oslo - Blindern	SN18700	28.11.1937	0
Oslo - Blindern	SN18700	29.11.1937	0
Oslo - Blindern	SN18700	30.11.1937	0
Oslo - Blindern	SN18700	01.12.1937	12,8
Oslo - Blindern	SN18700	02.12.1937	10,1
Oslo - Blindern	SN18700	03.12.1937	4,2
