polllster;date;AP;H;Frp;SV;Sp;Krf;V;MDG;R;Other
Verian/TV2;09.08.2021;23,5 (44);18,2 (33);9,3 (17);8,6 (16);16,4 (32);3,8 (3);3,2 (2);4,5 (8);7,5 (14);5,0 (0)
Norfakta/Nat. / KK;07.08.2021;23,7 (42);20,8 (35);10,9 (19);8,6 (15);15,8 (32);2,8 (1);4,5 (8);4,5 (8);5,3 (9);3,0 (0)
Verian/TV2;30.08.2025;28,1 (52);14,5 (26);20,5 (40);6,3 (11);5,9 (10);4,5 (8);3,9 (3);6,0 (10);5,5 (9);4,6 (0)
Verian/TV2;28.08.2025;29,3 (54);15,7 (29);19,2 (36);6,1 (10);6,4 (11);4,6 (8);3,2 (2);5,6 (9);5,9 (10);4,1 (0)
Norstat/NRK;27.08.2025;27,6 (51);14,6 (26);21,2 (41);6,8 (11);5,6 (9);4,7 (7);4,4 (7);4,6 (7);6,4 (10);4,1 (0)
Respons/VG / Aftenp. / BT;26.08.2025;28,0 (53);16,8 (29);18,5 (36);6,6 (10);6,8 (11);4,5 (7);4,5 (7);5,0 (7);5,8 (9);3,6 (0)
Verian/TV2;26.08.2025;27,0 (49);15,8 (28);21,0 (40);5,6 (9);6,3 (11);5,4 (9);3,7 (3);4,7 (8);6,8 (11);3,8 (1)
Verian/TV2;22.08.2025;26,7 (50);14,9 (24);22,8 (44);5,8 (10);6,0 (10);5,2 (8);3,2 (2);4,8 (8);7,3 (12);3,4 (1)
Opinion/DA / FF / ANB;20.08.2025;24,8 (47);17,9 (34);21,5 (41);5,5 (10);6,8 (13);4,5 (8);3,9 (3);3,6 (3);5,6 (10);5,8 (0)
Respons/VG / Aftenp. / BT;19.08.2025;24,8 (49);14,5 (24);21,9 (41);6,3 (10);7,0 (13);4,3 (7);5,3 (8);4,4 (7);6,4 (10);5,2 (0)
Norstat/NRK / VL / Dagbl.;15.08.2025;28,2 (55);14,6 (24);20,5 (41);7,1 (11);5,3 (9);4,8 (8);3,8 (3);4,7 (8);6,3 (10);4,5 (0)
InFact/Nettavisen;13.08.2025;26,9 (54);13,2 (22);23,9 (46);5,5 (9);5,6 (9);5,6 (9);5,1 (8);3,7 (3);5,7 (9);5,0 (0)
