speces	phylum 	lfc	se	W	p	q	diff	passed_ss	log2FC	Significant
GGB9787_SGB15410	Proteobacteria	-1.2660745735544	0.19739834119830085	-6.413805535896255	3.2937256997912243e-7	1.2927873371680556e-5	TRUE	TRUE	-1.826559508662542	ned
GGB9747_SGB15356	Proteobacteria	-0.9520736443341892	0.202299113578972	-4.706267009729263	8.763707843532235e-5	0.0010191867640256006	TRUE	FALSE	-1.3735519252420174	ned
Bacteroides_eggerthii	Bacteroidetes	1.096519045926302	0.4031082913998323	2.720159990057595	0.008249550491727329	0.03932612772528351	TRUE	FALSE	1.5819425897981734	opp
Butyricimonas_SGB15260	Bacteroidetes	0.9179452539941764	0.31445510274659544	2.9191615781598723	0.005464340469683823	0.02812791651607738	TRUE	FALSE	1.3243150657449583	opp
Prevotella_marseillensis	Bacteroidetes	1.1611664385406342	0.27809062898385556	4.175496465967019	1.5615335990006932e-4	0.0016556445013048502	TRUE	TRUE	1.6752090625292724	opp
Alistipes_putredinis	Bacteroidetes	1.0944420644425183	0.47534039666678995	2.3024385726881826	0.023125317057965465	0.08346378800231213	TRUE	FALSE	1.5789461389115005	opp
GGB9677_SGB15180	Firmicutes	0.7167958329579261	0.26081901883921105	2.748249863633658	0.010198050181479231	0.04574553938549255	TRUE	FALSE	1.034117793538274	opp
GGB3304_SGB4367	Firmicutes	1.3487469904337077	0.39303463961770196	3.4316237157763263	0.0012124468134130325	0.007769557130850861	TRUE	TRUE	1.9458305945126244	opp
GGB51647_SGB4348	Firmicutes	0.9531991349138832	0.4126617239579625	2.309880174423409	0.024294084588817145	0.08668571091918845	TRUE	FALSE	1.3751756649199094	opp
Clostridiaceae_unclassified_SGB15090	Firmicutes	1.592295829200134	0.3032136825149046	5.251398340580702	5.2977142078118824e-6	1.1089881741686207e-4	TRUE	FALSE	2.297197296415213	opp
GGB2987_SGB3969	Firmicutes	0.9417909032895289	0.2506048392146576	3.758071497106368	8.363555147070786e-4	0.006342026078363261	TRUE	TRUE	1.3587170657301406	opp
Blautia_SGB4815	Firmicutes	0.8775417531269998	0.20644304779739753	4.2507692193549484	2.791118589435211e-4	0.0025040321059504466	TRUE	FALSE	1.2660251354093297	opp
GGB9616_SGB15051	Firmicutes	0.8398814403971555	0.1951776640516186	4.303163707170059	2.1127992872592495e-4	0.002010360533937589	TRUE	FALSE	1.2116927889956557	opp
Oscillospiraceae_bacterium	Firmicutes	2.3834969663182424	0.30654430767979657	7.775375065218775	8.98271390547438e-9	7.051430415797389e-7	TRUE	FALSE	3.4386592532812172	opp
Ruminococcus_sp_BSD2780120874_150323_B10	Firmicutes	1.3538897344896599	0.3542309081933776	3.822054211459606	4.4158829816135094e-4	0.003648913832175374	TRUE	FALSE	1.9532500058587077	opp
Veillonella_dispar	Firmicutes	0.9841671608881016	0.2315619669717592	4.250124378189137	1.912288955360225e-4	0.001876433537447221	TRUE	FALSE	1.419853082419035	opp
