name	station	month	rain_mm
Oslo - Blindern	SN18700	02.1968	48,7
Oslo - Blindern	SN18700	03.1968	40,2
Oslo - Blindern	SN18700	04.1968	16,6
Oslo - Blindern	SN18700	05.1968	58,9
Oslo - Blindern	SN18700	06.1968	89,3
Oslo - Blindern	SN18700	07.1968	78,9
Oslo - Blindern	SN18700	08.1968	28
Oslo - Blindern	SN18700	09.1968	71,1
Oslo - Blindern	SN18700	10.1968	111,7
Oslo - Blindern	SN18700	11.1968	61,8
Oslo - Blindern	SN18700	12.1968	20,4
Oslo - Blindern	SN18700	01.1969	102
Oslo - Blindern	SN18700	02.1969	22,5
Oslo - Blindern	SN18700	03.1969	7,1
Oslo - Blindern	SN18700	04.1969	54,4
Oslo - Blindern	SN18700	05.1969	57,6
Oslo - Blindern	SN18700	06.1969	41
Oslo - Blindern	SN18700	07.1969	71,7
Oslo - Blindern	SN18700	08.1969	40,7
Oslo - Blindern	SN18700	09.1969	76,8
Oslo - Blindern	SN18700	10.1969	23,4
Oslo - Blindern	SN18700	11.1969	64
Oslo - Blindern	SN18700	12.1969	42,2
Oslo - Blindern	SN18700	01.1970	24,6
Oslo - Blindern	SN18700	02.1970	16,6
Oslo - Blindern	SN18700	03.1970	33,4
Oslo - Blindern	SN18700	04.1970	60,6
Oslo - Blindern	SN18700	05.1970	7,3
Oslo - Blindern	SN18700	06.1970	80
Oslo - Blindern	SN18700	07.1970	166,3
Oslo - Blindern	SN18700	08.1970	42,3
Oslo - Blindern	SN18700	09.1970	72,1
Oslo - Blindern	SN18700	10.1970	100,7
Oslo - Blindern	SN18700	11.1970	180,3
Oslo - Blindern	SN18700	12.1970	23,7
Oslo - Blindern	SN18700	01.1971	61
Oslo - Blindern	SN18700	02.1971	39,9
Oslo - Blindern	SN18700	03.1971	71,8
Oslo - Blindern	SN18700	04.1971	21,7
Oslo - Blindern	SN18700	05.1971	55,7
Oslo - Blindern	SN18700	06.1971	49,6
Oslo - Blindern	SN18700	07.1971	77,1
Oslo - Blindern	SN18700	08.1971	56,6
Oslo - Blindern	SN18700	09.1971	42,8
Oslo - Blindern	SN18700	10.1971	40,8
Oslo - Blindern	SN18700	11.1971	80,5
Oslo - Blindern	SN18700	12.1971	35,3
Oslo - Blindern	SN18700	01.1972	24,8
Oslo - Blindern	SN18700	02.1972	35,5
Oslo - Blindern	SN18700	03.1972	41,9
Oslo - Blindern	SN18700	04.1972	55,2
Oslo - Blindern	SN18700	05.1972	54
Oslo - Blindern	SN18700	06.1972	97,2
Oslo - Blindern	SN18700	07.1972	79,6
Oslo - Blindern	SN18700	08.1972	112,4
Oslo - Blindern	SN18700	09.1972	29,5
Oslo - Blindern	SN18700	10.1972	21,8
Oslo - Blindern	SN18700	11.1972	10,8
Oslo - Blindern	SN18700	12.1972	63,2
Oslo - Blindern	SN18700	01.1973	32,7
Oslo - Blindern	SN18700	02.1973	54
Oslo - Blindern	SN18700	03.1973	13
Oslo - Blindern	SN18700	04.1973	51,5
Oslo - Blindern	SN18700	05.1973	58,3
Oslo - Blindern	SN18700	06.1973	41,1
Oslo - Blindern	SN18700	07.1973	96,5
Oslo - Blindern	SN18700	08.1973	52,5
Oslo - Blindern	SN18700	09.1973	70,7
Oslo - Blindern	SN18700	10.1973	12,2
Oslo - Blindern	SN18700	11.1973	35,8
Oslo - Blindern	SN18700	12.1973	69,2
Oslo - Blindern	SN18700	01.1974	88,2
Oslo - Blindern	SN18700	02.1974	45,5
Oslo - Blindern	SN18700	03.1974	26,9
Oslo - Blindern	SN18700	04.1974	0
Oslo - Blindern	SN18700	05.1974	27
Oslo - Blindern	SN18700	06.1974	53,6
Oslo - Blindern	SN18700	07.1974	111,9
Oslo - Blindern	SN18700	08.1974	54,9
Oslo - Blindern	SN18700	09.1974	180,9
Oslo - Blindern	SN18700	10.1974	80,9
Oslo - Blindern	SN18700	11.1974	120,8
Oslo - Blindern	SN18700	12.1974	46,2
Oslo - Blindern	SN18700	01.1975	106,1
Oslo - Blindern	SN18700	02.1975	18,1
Oslo - Blindern	SN18700	03.1975	33,5
Oslo - Blindern	SN18700	04.1975	28,7
Oslo - Blindern	SN18700	05.1975	36,8
Oslo - Blindern	SN18700	06.1975	37,5
Oslo - Blindern	SN18700	07.1975	59,2
Oslo - Blindern	SN18700	08.1975	70,7
Oslo - Blindern	SN18700	09.1975	114,9
Oslo - Blindern	SN18700	10.1975	65,8
Oslo - Blindern	SN18700	11.1975	83,6
Oslo - Blindern	SN18700	12.1975	27,4
Oslo - Blindern	SN18700	01.1976	34,5
Oslo - Blindern	SN18700	02.1976	38,5
Oslo - Blindern	SN18700	03.1976	6,3
Oslo - Blindern	SN18700	04.1976	16,4
Oslo - Blindern	SN18700	05.1976	41
Oslo - Blindern	SN18700	06.1976	17,2
Oslo - Blindern	SN18700	07.1976	33
Oslo - Blindern	SN18700	08.1976	12
Oslo - Blindern	SN18700	09.1976	41,7
Oslo - Blindern	SN18700	10.1976	181,2
Oslo - Blindern	SN18700	11.1976	88,3
Oslo - Blindern	SN18700	12.1976	50,5
Oslo - Blindern	SN18700	01.1977	66,4
Oslo - Blindern	SN18700	02.1977	25,2
Oslo - Blindern	SN18700	03.1977	52,8
Oslo - Blindern	SN18700	04.1977	76,2
Oslo - Blindern	SN18700	05.1977	26,3
Oslo - Blindern	SN18700	06.1977	78
Oslo - Blindern	SN18700	07.1977	68,5
Oslo - Blindern	SN18700	08.1977	36,5
Oslo - Blindern	SN18700	09.1977	56,4
Oslo - Blindern	SN18700	10.1977	62,7
Oslo - Blindern	SN18700	11.1977	80
Oslo - Blindern	SN18700	12.1977	48,8
Oslo - Blindern	SN18700	01.1978	68,9
Oslo - Blindern	SN18700	02.1978	42,7
Oslo - Blindern	SN18700	03.1978	103,9
Oslo - Blindern	SN18700	04.1978	19,6
Oslo - Blindern	SN18700	05.1978	17,2
Oslo - Blindern	SN18700	06.1978	33
Oslo - Blindern	SN18700	07.1978	125,3
Oslo - Blindern	SN18700	08.1978	88,8
Oslo - Blindern	SN18700	09.1978	79,3
Oslo - Blindern	SN18700	10.1978	21,5
Oslo - Blindern	SN18700	11.1978	27,9
Oslo - Blindern	SN18700	12.1978	23,9
Oslo - Blindern	SN18700	01.1979	11,6
Oslo - Blindern	SN18700	02.1979	16,9
Oslo - Blindern	SN18700	03.1979	115
Oslo - Blindern	SN18700	04.1979	80,3
Oslo - Blindern	SN18700	05.1979	59,6
Oslo - Blindern	SN18700	06.1979	38
Oslo - Blindern	SN18700	07.1979	81,3
Oslo - Blindern	SN18700	08.1979	105,2
Oslo - Blindern	SN18700	09.1979	83,5
Oslo - Blindern	SN18700	10.1979	74,8
Oslo - Blindern	SN18700	11.1979	104
Oslo - Blindern	SN18700	12.1979	57,6
Oslo - Blindern	SN18700	01.1980	16,3
Oslo - Blindern	SN18700	02.1980	26,2
Oslo - Blindern	SN18700	03.1980	30,8
Oslo - Blindern	SN18700	04.1980	4,6
Oslo - Blindern	SN18700	05.1980	56,6
Oslo - Blindern	SN18700	06.1980	125,8
Oslo - Blindern	SN18700	07.1980	76,3
Oslo - Blindern	SN18700	08.1980	146,1
Oslo - Blindern	SN18700	09.1980	80,1
Oslo - Blindern	SN18700	10.1980	114,6
Oslo - Blindern	SN18700	11.1980	37,4
Oslo - Blindern	SN18700	12.1980	52
Oslo - Blindern	SN18700	01.1981	18,6
Oslo - Blindern	SN18700	02.1981	23,2
Oslo - Blindern	SN18700	03.1981	63,6
Oslo - Blindern	SN18700	04.1981	11,4
Oslo - Blindern	SN18700	05.1981	68,2
Oslo - Blindern	SN18700	06.1981	93,8
Oslo - Blindern	SN18700	07.1981	107,3
Oslo - Blindern	SN18700	08.1981	12,4
Oslo - Blindern	SN18700	09.1981	73,9
Oslo - Blindern	SN18700	10.1981	87,5
Oslo - Blindern	SN18700	11.1981	115,3
Oslo - Blindern	SN18700	12.1981	37
Oslo - Blindern	SN18700	01.1982	26,7
Oslo - Blindern	SN18700	02.1982	34,3
Oslo - Blindern	SN18700	03.1982	91,7
Oslo - Blindern	SN18700	04.1982	39,3
Oslo - Blindern	SN18700	05.1982	74,9
Oslo - Blindern	SN18700	06.1982	32,3
Oslo - Blindern	SN18700	07.1982	34,7
Oslo - Blindern	SN18700	08.1982	82
Oslo - Blindern	SN18700	09.1982	116,2
Oslo - Blindern	SN18700	10.1982	70
Oslo - Blindern	SN18700	11.1982	133,5
Oslo - Blindern	SN18700	12.1982	104,9
Oslo - Blindern	SN18700	01.1983	27,1
Oslo - Blindern	SN18700	02.1983	13,3
Oslo - Blindern	SN18700	03.1983	35,1
Oslo - Blindern	SN18700	04.1983	47,2
Oslo - Blindern	SN18700	05.1983	102,5
Oslo - Blindern	SN18700	06.1983	26,8
Oslo - Blindern	SN18700	07.1983	43,1
Oslo - Blindern	SN18700	08.1983	24,8
Oslo - Blindern	SN18700	09.1983	165,3
Oslo - Blindern	SN18700	10.1983	97,3
Oslo - Blindern	SN18700	11.1983	18,4
Oslo - Blindern	SN18700	12.1983	45,2
Oslo - Blindern	SN18700	01.1984	79
Oslo - Blindern	SN18700	02.1984	20,3
Oslo - Blindern	SN18700	03.1984	21,4
Oslo - Blindern	SN18700	04.1984	27,9
Oslo - Blindern	SN18700	05.1984	50,1
Oslo - Blindern	SN18700	06.1984	107,7
Oslo - Blindern	SN18700	07.1984	86,4
Oslo - Blindern	SN18700	08.1984	95
Oslo - Blindern	SN18700	09.1984	95,6
Oslo - Blindern	SN18700	10.1984	141,6
Oslo - Blindern	SN18700	11.1984	51,3
Oslo - Blindern	SN18700	12.1984	95,1
Oslo - Blindern	SN18700	01.1985	40,2
Oslo - Blindern	SN18700	02.1985	42,3
Oslo - Blindern	SN18700	03.1985	73,8
Oslo - Blindern	SN18700	04.1985	75,2
Oslo - Blindern	SN18700	05.1985	30,6
Oslo - Blindern	SN18700	06.1985	88,4
Oslo - Blindern	SN18700	07.1985	114
Oslo - Blindern	SN18700	08.1985	160,8
Oslo - Blindern	SN18700	09.1985	130,8
Oslo - Blindern	SN18700	10.1985	34,5
Oslo - Blindern	SN18700	11.1985	45,9
Oslo - Blindern	SN18700	12.1985	73,9
Oslo - Blindern	SN18700	01.1986	65,5
Oslo - Blindern	SN18700	02.1986	1
Oslo - Blindern	SN18700	03.1986	52,6
Oslo - Blindern	SN18700	04.1986	21,4
Oslo - Blindern	SN18700	05.1986	65
Oslo - Blindern	SN18700	06.1986	33,1
Oslo - Blindern	SN18700	07.1986	58
Oslo - Blindern	SN18700	08.1986	125,5
Oslo - Blindern	SN18700	09.1986	28,1
Oslo - Blindern	SN18700	10.1986	71,7
Oslo - Blindern	SN18700	11.1986	75,4
Oslo - Blindern	SN18700	12.1986	112,3
Oslo - Blindern	SN18700	01.1987	17,3
Oslo - Blindern	SN18700	02.1987	23,6
Oslo - Blindern	SN18700	03.1987	77,2
Oslo - Blindern	SN18700	04.1987	19,1
Oslo - Blindern	SN18700	05.1987	47,8
Oslo - Blindern	SN18700	06.1987	125,8
Oslo - Blindern	SN18700	07.1987	39,8
Oslo - Blindern	SN18700	08.1987	82,2
Oslo - Blindern	SN18700	09.1987	125,9
Oslo - Blindern	SN18700	10.1987	172,5
Oslo - Blindern	SN18700	11.1987	99,3
Oslo - Blindern	SN18700	12.1987	22
Oslo - Blindern	SN18700	01.1988	138,9
Oslo - Blindern	SN18700	02.1988	88,8
Oslo - Blindern	SN18700	03.1988	106,6
Oslo - Blindern	SN18700	04.1988	41,1
Oslo - Blindern	SN18700	05.1988	22,2
Oslo - Blindern	SN18700	06.1988	34,4
Oslo - Blindern	SN18700	07.1988	175
Oslo - Blindern	SN18700	08.1988	227,7
