PathwaySortOrder	Biochemical	SuperPathway	SubPathway	Comp.ID	Platform	Chemical.ID	RI	MASS	PUBCHEM	CAS	KEGG	HMDB
1740	octanoylcarnitine (C8)	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)	33936	LC/MS Pos Late	100001247	950	288,2169	123701	3671-77-0	C02838	HMDB00791
1432	oleate/vaccenate (18:1)	Lipid	Long Chain Monounsaturated Fatty Acid	52285	LC/MS Neg	100008930	5655	281,2486				
2021	oleoyl ethanolamide	Lipid	Endocannabinoid	38102	LC/MS Neg	1137	6450	324,2908	5283454	"11-58-0;111-58-0"		HMDB02088
2770	oleoyl-linoleoyl-glycerol (18:1/18:2) [1]	Lipid	Diacylglycerol	46798	LC/MS Pos Late	100002989	3115	636,5562		106292-55-1		HMDB07219
2771	oleoyl-linoleoyl-glycerol (18:1/18:2) [2]	Lipid	Diacylglycerol	46799	LC/MS Pos Late	100002990	3223	636,5562		104346-53-4		HMDB07219
1770	oleoylcarnitine (C18:1)	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)	35160	LC/MS Pos Late	100001501	1423	426,3578	6441392	38677-66-6		HMDB05065
1822	oleoylcholine	Lipid	Fatty Acid Metabolism (Acyl Choline)	53260	LC/MS Pos Late	100009331	1449	368,3523				
5363	omeprazole	Xenobiotics	Drug - Gastrointestinal	38600	LC/MS Neg	100002725	4673	344,1074	4594	73590-58-6	C07324	HMDB01913
436	ornithine	Amino Acid	"Urea cycle; Arginine and Proline Metabolism"	1493	LC/MS Pos Early	444	2800	133,0972	6262	3184-13-2	C00077	HMDB03374
4014	orotate	Nucleotide	Pyrimidine Metabolism, Orotate containing	1505	LC/MS Polar	445	1638,1	155,0098	967	50887-69-9	C00295	HMDB00226
4016	orotidine	Nucleotide	Pyrimidine Metabolism, Orotate containing	35172	LC/MS Polar	100001416	2250	287,0521	92751	314-50-1		HMDB00788
4153	oxalate (ethanedioate)	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	20694	LC/MS Neg	100000841	603	88,988	971	144-62-7	C00209	HMDB02329
5411	oxypurinol	Xenobiotics	Drug - Metabolic	41726	LC/MS Polar	100002489	1656	151,0262	4644	2465-59-0	D02365	HMDB00786
215	p-cresol glucuronide*	Amino Acid	Tyrosine Metabolism	48841	LC/MS Neg	100006191	2420	283,0823	154035	17680-99-8		HMDB11686
4335	p-cresol sulfate	Xenobiotics	Benzoate Metabolism	36103	LC/MS Neg	100001315	2890	187,0071	4615423	3233-57-7		HMDB11635
5397	p-hydroxyatorvastatin	Xenobiotics	Drug - Metabolic	47881	LC/MS Neg	100005939	4650	573,2406	9851106	265989-44-4		
5396	p-hydroxyatorvastatin lactone	Xenobiotics	Drug - Metabolic	47880	LC/MS Pos Late	100005938	990	557,2446				
1409	palmitate (16:0)	Lipid	Long Chain Saturated Fatty Acid	1336	LC/MS Neg	424	5618	255,233	985	57-10-3	C00249	HMDB00220
1428	palmitoleate (16:1n7)	Lipid	Long Chain Monounsaturated Fatty Acid	33447	LC/MS Neg	452	5475	253,2173	445638	373-49-9	C08362	HMDB03229
2756	palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]*	Lipid	Diacylglycerol	54967	LC/MS Pos Late	100010930	2664	608,5249				
1769	palmitoleoylcarnitine (C16:1)*	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)	53223	LC/MS Pos Late	100009406	1357	398,3265	71464547			
1823	palmitoloelycholine	Lipid	Fatty Acid Metabolism (Acyl Choline)	53257	LC/MS Pos Late	100009334	1385	340,321				
2935	palmitoyl dihydrosphingomyelin (d18:0/16:0)*	Lipid	Dihydrosphingomyelins	52434	LC/MS Pos Late	100008954	2290	705,5905	9939965			
2024	palmitoyl ethanolamide	Lipid	Endocannabinoid	38165	LC/MS Neg	1489	6300	298,2752	4671	544-31-0	C16512	HMDB02100
2939	palmitoyl sphingomyelin (d18:1/16:0)	Lipid	Sphingomyelins	37506	LC/MS Pos Late	100002107	2168	703,5749	9939941	6254-89-3		
2761	palmitoyl-docosahexaenoyl-glycerol (16:0/22:6) [1]*	Lipid	Diacylglycerol	57373	LC/MS Pos Late	100015618	2749	658,5405				
